id,language,code
40,c,"#endif
void set_binfmt(struct linux_binfmt *new)
{
	struct mm_struct *mm = current->mm;
	if (mm->binfmt)
		module_put(mm->binfmt->module);
	mm->binfmt = new;
	if (new)
		__module_get(new->module);
}"
41,c,"EXPORT_SYMBOL(set_binfmt);
void set_dumpable(struct mm_struct *mm, int value)
{
	if (WARN_ON((unsigned)value > SUID_DUMP_ROOT))
		return;
	set_mask_bits(&mm->flags, MMF_DUMPABLE_MASK, value);
}"
42,c,"static void __free_fdtable(struct fdtable *fdt)
{
	kvfree(fdt->fd);
	kvfree(fdt->open_fds);
	kfree(fdt);
}"
44,c,"int close_fd_get_file(unsigned int fd, struct file **res)
{
	struct files_struct *files = current->files;
	int ret;
	spin_lock(&files->file_lock);
	ret = __close_fd_get_file(fd, res);
	spin_unlock(&files->file_lock);
	return ret;
}"
45,c,"static void put_aio_ring_file(struct kioctx *ctx)
{
	struct file *aio_ring_file = ctx->aio_ring_file;
	struct address_space *i_mapping;
	if (aio_ring_file)
	{
		truncate_setsize(file_inode(aio_ring_file), 0);
		i_mapping = aio_ring_file->f_mapping;
		spin_lock(&i_mapping->private_lock);
		i_mapping->private_data = NULL;
		ctx->aio_ring_file = NULL;
		spin_unlock(&i_mapping->private_lock);
		fput(aio_ring_file);
	}
}"
46,c,"SYSCALL_DEFINE2(dup2, unsigned int, oldfd, unsigned int, newfd)
{
	if (unlikely(newfd == oldfd)) { 
		struct files_struct *files = current->files;
		int retval = oldfd;
		rcu_read_lock();
		if (!files_lookup_fd_rcu(files, oldfd))
			retval = -EBADF;
		rcu_read_unlock();
		return retval;
	}
	return ksys_dup3(oldfd, newfd, 0);
}"
48,c,"struct sem_undo_list {
	atomic_t		refcnt;
	spinlock_t		lock;
	struct list_head	list_proc;
};"
49,c,"static void sem_rcu_free(struct rcu_head *head)
{
	struct ipc_rcu *p = container_of(head, struct ipc_rcu, rcu);
	struct sem_array *sma = ipc_rcu_to_struct(p);
	security_sem_free(sma);
	ipc_rcu_free(head);
}"
51,c,"static void aio_free_ring(struct kioctx *ctx)
{
	int i;
	put_aio_ring_file(ctx);
	for (i = 0; i < ctx->nr_pages; i++)
	{
		struct page *page;
		pr_debug(""pid(%d) [%d] page->count=%d\n"", current->pid, i,
						 page_count(ctx->ring_pages[i]));
		page = ctx->ring_pages[i];
		if (!page)
			continue;
		ctx->ring_pages[i] = NULL;
		put_page(page);
	}
	if (ctx->ring_pages && ctx->ring_pages != ctx->internal_pages)
	{
		kfree(ctx->ring_pages);
		ctx->ring_pages = NULL;
	}
}"
53,c,"static int aio_ring_mmap(struct file *file, struct vm_area_struct *vma)
{
	vma->vm_flags |= VM_DONTEXPAND;
	vma->vm_ops = &aio_ring_vm_ops;
	return 0;
}"
55,cpp,"template <unsigned int BITS>
base_uint<BITS>& base_uint<BITS>::operator<<=(unsigned int shift)
{
    base_uint<BITS> a(*this);
    for (int i = 0; i < WIDTH; i++)
        pn[i] = 0;
    int k = shift / 32;
    shift = shift % 32;
    for (int i = 0; i < WIDTH; i++) {
        if (i + k + 1 < WIDTH && shift != 0)
            pn[i + k + 1] |= (a.pn[i] >> (32 - shift));
        if (i + k < WIDTH)
            pn[i + k] |= (a.pn[i] << shift);
    }
    return *this;
}"
56,cpp,"template <unsigned int BITS>
base_uint<BITS>& base_uint<BITS>::operator>>=(unsigned int shift)
{
    base_uint<BITS> a(*this);
    for (int i = 0; i < WIDTH; i++)
        pn[i] = 0;
    int k = shift / 32;
    shift = shift % 32;
    for (int i = 0; i < WIDTH; i++) {
        if (i - k - 1 >= 0 && shift != 0)
            pn[i - k - 1] |= (a.pn[i] << (32 - shift));
        if (i - k >= 0)
            pn[i - k] |= (a.pn[i] >> shift);
    }
    return *this;
}"
57,cpp,"template <unsigned int BITS>
base_uint<BITS>& base_uint<BITS>::operator*=(uint32_t b32)
{
    uint64_t carry = 0;
    for (int i = 0; i < WIDTH; i++) {
        uint64_t n = carry + (uint64_t)b32 * pn[i];
        pn[i] = n & 0xffffffff;
        carry = n >> 32;
    }
    return *this;
}"
58,cpp,"template <unsigned int BITS>
void base_uint<BITS>::SetHex(const std::string& str)
{
    SetHex(str.c_str());
}
template <unsigned int BITS>
std::string base_uint<BITS>::ToString() const
{
    return GetHex();
}"
59,cpp,"template <unsigned int BITS>
unsigned int base_uint<BITS>::bits() const
{
    for (int pos = WIDTH - 1; pos >= 0; pos--) {
        if (pn[pos]) {
            for (int nbits = 31; nbits > 0; nbits--) {
                if (pn[pos] & 1U << nbits)
                    return 32 * pos + nbits + 1;
            }
            return 32 * pos + 1;
        }
    }
    return 0;
}"
60,cpp,"arith_uint256 UintToArith256(const uint256 &a)
{
    arith_uint256 b;
    for(int x=0; x<b.WIDTH; ++x)
        b.pn[x] = ReadLE32(a.begin() + x*4);
    return b;
}"
61,cpp,"TypeAttrKind TypeAttributes::getAttrKindFromString(StringRef Str) {
  return llvm::StringSwitch<TypeAttrKind>(Str)
#define TYPE_ATTR(X) .Case(#X, TAK_##X)
#include ""swift/AST/Attr.def""
  .Default(TAK_Count);
}"
62,cpp,"TypeLoc ImplementsAttr::getProtocolType() const {
  return ProtocolType;
}
TypeLoc &ImplementsAttr::getProtocolType() {
  return ProtocolType;
}"
63,cpp,"BitcoinApplication::~BitcoinApplication()
{
    m_executor.reset();
    delete window;
    window = nullptr;
    delete platformStyle;
    platformStyle = nullptr;
}"
64,cpp,"void BitcoinApplication::createWindow(const NetworkStyle *networkStyle)
{
    window = new BitcoinGUI(node(), platformStyle, networkStyle, nullptr);
    connect(window, &BitcoinGUI::quitRequested, this, &BitcoinApplication::requestShutdown);
    pollShutdownTimer = new QTimer(window);
    connect(pollShutdownTimer, &QTimer::timeout, [this]{
        if (!QApplication::activeModalWidget()) {
            window->detectShutdown();
        }
    });
}"
65,cpp,"void BitcoinApplication::createNode(interfaces::Init& init)
{
    assert(!m_node);
    m_node = init.makeNode();
    if (m_splash) m_splash->setNode(*m_node);
}"
66,cpp,"void BitcoinApplication::parameterSetup()
{
    gArgs.SoftSetBoolArg(""-printtoconsole"", false);
    InitLogging(gArgs);
    InitParameterInteraction(gArgs);
}"
69,cpp,"BENCHMARK(LoggingYoThreadNames, benchmark::PriorityLevel::HIGH);
BENCHMARK(LoggingNoThreadNames, benchmark::PriorityLevel::HIGH);
BENCHMARK(LoggingYoCategory, benchmark::PriorityLevel::HIGH);
BENCHMARK(LoggingNoCategory, benchmark::PriorityLevel::HIGH);
BENCHMARK(LoggingNoFile, benchmark::PriorityLevel::HIGH);"
70,cpp,"void inline Initialize(uint32_t* s)
{
    s[0] = 0x6a09e667ul;
    s[1] = 0xbb67ae85ul;
    s[2] = 0x3c6ef372ul;
    s[3] = 0xa54ff53aul;
    s[4] = 0x510e527ful;
    s[5] = 0x9b05688cul;
    s[6] = 0x1f83d9abul;
    s[7] = 0x5be0cd19ul;
}"
71,cpp,"#if defined(__aarch64__) 
    if (getauxval(AT_HWCAP) & HWCAP_SHA2) {
        have_arm_shani = true;
    }
#endif"
72,cpp,"#if defined(MAC_OSX)
    int val = 0;
    size_t len = sizeof(val);
    if (sysctlbyname(""hw.optional.arm.FEAT_SHA256"", &val, &len, nullptr, 0) == 0) {
        have_arm_shani = val != 0;
    }
#endif"
73,cpp,"CSHA256::CSHA256() : bytes(0)
{
    sha256::Initialize(s);
}"
74,cpp,"StringRef Stmt::getKindName(StmtKind K) {
  switch (K) {
#define STMT(Id, Parent) case StmtKind::Id: return #Id;
#include ""swift/AST/StmtNodes.def""
  }
  llvm_unreachable(""bad StmtKind"");
}"
75,cpp,"template <class T> static SourceRange getSourceRangeImpl(const T *S) {
  static_assert(isOverriddenFromStmt(&T::getSourceRange) ||
                (isOverriddenFromStmt(&T::getStartLoc) &&
                 isOverriddenFromStmt(&T::getEndLoc)),
                ""Stmt subclass must implement either getSourceRange() ""
                ""or getStartLoc()/getEndLoc()"");
  return Dispatch<isOverriddenFromStmt(&T::getSourceRange)>::getSourceRange(S);
}"
76,cpp,"public:
  SourceFileOrModule(SourceFile &SF) : SFOrMod(&SF) {}
  SourceFileOrModule(ModuleDecl &Mod) : SFOrMod(&Mod) {}
  SourceFile *getAsSourceFile() const {
    return SFOrMod.dyn_cast<SourceFile *>();
  }"
85,cpp,"void IndexSwiftASTWalker::visitDeclContext(DeclContext *Context) {
  IsModuleFile = false;
  isSystemModule = Context->getParentModule()->isSystemModule();
  walk(Context);
}"
86,cpp,"bool IndexSwiftASTWalker::startEntity(Decl *D, IndexSymbol &Info) {
  switch (IdxConsumer.startSourceEntity(Info)) {
    case swift::index::IndexDataConsumer::Abort:
      Cancelled = true;
      LLVM_FALLTHROUGH;
    case swift::index::IndexDataConsumer::Skip:
      return false;
    case swift::index::IndexDataConsumer::Continue:
      EntitiesStack.push_back({D, Info.symInfo, Info.roles, {}});
      return true;
  }
  llvm_unreachable(""Unhandled IndexDataConsumer in switch."");
}"
93,csharp,"#region License Information (GPL v3)
#endregion License Information (GPL v3)
using Newtonsoft.Json;
using System;
namespace ShareX
{
    public class NewsItem
    {
        public DateTime DateTime { get; set; }
        public string Text { get; set; }
        public string URL { get; set; }
        [JsonIgnore]
        public bool IsUnread { get; set; }
    }
}"
96,csharp,"builder.Services
    .AddHealthChecksUI()
    .AddInMemoryStorage();
var app = builder.Build();
if (!app.Environment.IsDevelopment())
{
    app.UseExceptionHandler(""/Home/Error"");
}
var pathBase = app.Configuration[""PATH_BASE""];
if (!string.IsNullOrEmpty(pathBase))
{
    app.UsePathBase(pathBase);
}"
101,go,"package types
import (
	""bytes""
	""fmt""
	""go/ast""
	""go/constant""
	""go/token""
)
const allowTypeLists = false
type Error struct {
	Fset *token.FileSet 
	Pos  token.Pos      
	Msg  string         
	Soft bool           
	go116code  errorCode
	go116start token.Pos
	go116end   token.Pos
}"
102,go,"func (err Error) Error() string {
	return fmt.Sprintf(""%s: %s"", err.Fset.Position(err.Pos), err.Msg)
}
type ArgumentError struct {
	Index int
	Err   error
}"
103,go,"func (e *ArgumentError) Error() string { return e.Err.Error() }
func (e *ArgumentError) Unwrap() error { return e.Err }
type Importer interface {
	Import(path string) (*Package, error)
}
type ImportMode int
type ImporterFrom interface {
	Importer
	ImportFrom(path, dir string, mode ImportMode) (*Package, error)
}"
104,go,"type Info struct {
	Types map[ast.Expr]TypeAndValue
	Instances map[*ast.Ident]Instance
	Defs map[*ast.Ident]Object
	Uses map[*ast.Ident]Object
	Implicits map[ast.Node]Object
	Selections map[*ast.SelectorExpr]*Selection
	Scopes map[ast.Node]*Scope
	InitOrder []*Initializer
}"
105,go,"func (info *Info) TypeOf(e ast.Expr) Type {
	if t, ok := info.Types[e]; ok {
		return t.Type
	}
	if id, _ := e.(*ast.Ident); id != nil {
		if obj := info.ObjectOf(id); obj != nil {
			return obj.Type()
		}
	}
	return nil
}"
106,go,"func (info *Info) ObjectOf(id *ast.Ident) Object {
	if obj := info.Defs[id]; obj != nil {
		return obj
	}
	return info.Uses[id]
}"
107,go,"type TypeAndValue struct {
	mode  operandMode
	Type  Type
	Value constant.Value
}
func (tv TypeAndValue) IsVoid() bool {
	return tv.mode == novalue
}"
108,go,"func (tv TypeAndValue) IsType() bool {
	return tv.mode == typexpr
}
func (tv TypeAndValue) IsBuiltin() bool {
	return tv.mode == builtin
}"
109,go,"func (tv TypeAndValue) IsValue() bool {
	switch tv.mode {
	case constant_, variable, mapindex, value, commaok, commaerr:
		return true
	}
	return false
}
func (tv TypeAndValue) IsNil() bool {
	return tv.mode == value && tv.Type == Typ[UntypedNil]
}
func (tv TypeAndValue) Addressable() bool {
	return tv.mode == variable
}"
110,go,"type Instance struct {
	TypeArgs *TypeList
	Type     Type
}
type Initializer struct {
	Lhs []*Var 
	Rhs ast.Expr
}"
111,go,"func Identical(x, y Type) bool {
	return identical(x, y, true, nil)
}
func IdenticalIgnoreTags(x, y Type) bool {
	return identical(x, y, false, nil)
}"
113,go,"func (c *Comment) Pos() token.Pos { return c.Slash }
func (c *Comment) End() token.Pos { return token.Pos(int(c.Slash) + len(c.Text)) }
type CommentGroup struct {
	List []*Comment 
}"
114,go,"func stripTrailingWhitespace(s string) string {
	i := len(s)
	for i > 0 && isWhitespace(s[i-1]) {
		i--
	}
	return s[0:i]
}"
112,go,"package ast
import (
	""go/token""
	""strings""
	""unicode""
	""unicode/utf8""
)
type Node interface {
	Pos() token.Pos
	End() token.Pos
}
type Expr interface {
	Node
	exprNode()
}"
116,go,"func (f *FieldList) End() token.Pos {
	if f.Closing.IsValid() {
		return f.Closing + 1
	}
	if n := len(f.List); n > 0 {
		return f.List[n-1].End()
	}
	return token.NoPos
}"
117,go,"func (x *BadExpr) Pos() token.Pos  { return x.From }
func (x *Ident) Pos() token.Pos    { return x.NamePos }
func (x *Ellipsis) Pos() token.Pos { return x.Ellipsis }
func (x *BasicLit) Pos() token.Pos { return x.ValuePos }
func (x *FuncLit) Pos() token.Pos  { return x.Type.Pos() }
func (x *CompositeLit) Pos() token.Pos {
	if x.Type != nil {
		return x.Type.Pos()
	}
	return x.Lbrace
}"
118,go,"func (s *BlockStmt) End() token.Pos { return s.Rbrace + 1 }
func (s *IfStmt) End() token.Pos {
	if s.Else != nil {
		return s.Else.End()
	}
	return s.Body.End()
}
func (s *CaseClause) End() token.Pos {
	if n := len(s.Body); n > 0 {
		return s.Body[n-1].End()
	}
	return s.Colon + 1
}"
119,go,"func isObject(s string) bool {
	f, err := os.Open(s)
	if err != nil {
		return false
	}
	defer f.Close()
	buf := make([]byte, 64)
	io.ReadFull(f, buf)
	for _, magic := range objectMagic {
		if bytes.HasPrefix(buf, magic) {
			return true
		}
	}
	return false
}"
120,go,"func (b *builder) processOutput(out []byte) string {
	if out[len(out)-1] != '\n' {
		out = append(out, '\n')
	}
	messages := string(out)
	if !buildX && cgoLine.MatchString(messages) {
		messages = cgoLine.ReplaceAllString(messages, """")
		messages = cgoTypeSigRe.ReplaceAllString(messages, ""C."")
	}
	return messages
}"
121,go,"func gccgoCleanPkgpath(p *Package) string {
	clean := func(r rune) rune {
		switch {
		case 'A' <= r && r <= 'Z', 'a' <= r && r <= 'z',
			'0' <= r && r <= '9':
			return r
		}
		return '_'
	}
	return strings.Map(clean, gccgoPkgpath(p))
}"
122,go,"const primeRK = 16777619
func hashStr(sep []byte) (uint32, uint32) {
	hash := uint32(0)
	for i := 0; i < len(sep); i++ {
		hash = hash*primeRK + uint32(sep[i])
	}
	var pow, sq uint32 = 1, primeRK
	for i := len(sep); i > 0; i >>= 1 {
		if i&1 != 0 {
			pow *= sq
		}
		sq *= sq
	}
	return hash, pow
}"
123,go,"func progMachine(p *syntax.Prog, op *onePassProg) *machine {
	m := &machine{p: p, op: op}
	n := len(m.p.Inst)
	m.q0 = queue{make([]uint32, n), make([]entry, 0, n)}
	m.q1 = queue{make([]uint32, n), make([]entry, 0, n)}
	ncap := p.NumCap
	if ncap < 2 {
		ncap = 2
	}
	if op == notOnePass {
		m.maxBitStateLen = maxBitStateLen(p)
	}
	m.matchcap = make([]int, ncap)
	return m
}"
124,go,"type netFD struct {
	pfd poll.FD
	family      int
	sotype      int
	isConnected bool
	net         string
	laddr       Addr
	raddr       Addr
}"
125,go,"func (fd *netFD) dup() (f *os.File, err error) {
	ns, err := dupCloseOnExec(fd.pfd.Sysfd)
	if err != nil {
		return nil, err
	}
	return os.NewFile(uintptr(ns), fd.name()), nil
}"
126,go,"func rename(oldname, newname string) error {
	fi, err := Lstat(newname)
	if err == nil && fi.IsDir() {
		return &LinkError{""rename"", oldname, newname, syscall.EEXIST}
	}
	e := syscall.Rename(oldname, newname)
	if e != nil {
		return &LinkError{""rename"", oldname, newname, e}
	}
	return nil
}"
127,go,"func (p *Package) recordTypedefs(dtype dwarf.Type, pos token.Pos) {
	p.recordTypedefs1(dtype, pos, map[dwarf.Type]bool{})
}"
128,go,"func removeEmptyPort(host string) string {
	if hasPort(host) {
		return strings.TrimSuffix(host, "":"")
	}
	return host
}"
129,go,"var ErrShortWrite = errors.New(""short write"")
var errInvalidWrite = errors.New(""invalid write result"")
var ErrShortBuffer = errors.New(""short buffer"")
var EOF = errors.New(""EOF"")
var ErrUnexpectedEOF = errors.New(""unexpected EOF"")
var ErrNoProgress = errors.New(""multiple Read calls return no data or error"")"
130,go,"type Reader interface {
	Read(p []byte) (n int, err error)
}
type Writer interface {
	Write(p []byte) (n int, err error)
}
type Closer interface {
	Close() error
}
type Seeker interface {
	Seek(offset int64, whence int) (int64, error)
}"
131,go,"func LookupNS(name string) (nss []*NS, err error) {
	return lookupNS(name)
}
func LookupTXT(name string) (txts []string, err error) {
	return lookupTXT(name)
}
func LookupAddr(addr string) (names []string, err error) {
	return lookupAddr(addr)
}"
132,go,"type PacketConn interface {
	ReadFrom(b []byte) (n int, addr Addr, err error)
	WriteTo(b []byte, addr Addr) (n int, err error)
	Close() error
	LocalAddr() Addr
	SetDeadline(t time.Time) error
	SetReadDeadline(t time.Time) error
	SetWriteDeadline(t time.Time) error
}"
133,go,"package time
func Sleep(d Duration)
type runtimeTimer struct {
	tb uintptr
	i  int
	pp uintptr
	when     int64
	period   int64
	f        func(interface{}, uintptr) 
	arg      interface{}
	seq      uintptr
	nextwhen int64
	status   uint32
}"
134,go,"func isAllArray(typ reflect.Type) bool {
	switch typ.Kind() {
	case reflect.String:
		return false
	case reflect.Slice:
		return false
	case reflect.Array:
		return isAllArray(typ.Elem())
	default:
		return true
	}
}"
135,go,"func (t *Tensor) WriteContentsTo(w io.Writer) (int64, error) {
	if err := isTensorSerializable(t.DataType()); err != nil {
		return 0, err
	}
	return io.Copy(w, bytes.NewReader(tensorData(t.c)))
}"
136,go,"type sliceHeader struct {
	Data unsafe.Pointer
	Len  int
	Cap  int
}"
137,go,"func poll_runtimeNano() int64 {
	return nanotime()
}
func time_runtimeNano() int64 {
	return nanotime()
}
var startNano int64 = nanotime()"
138,go,"type UDPAddr struct {
	IP   IP
	Port int
	Zone string 
}"
139,html,"</div>
</div>
<script type=""text/javascript"" src=""./jquery.js""></script>
<script type=""text/javascript"" src=""./sh_main.js""></script>
<script type=""text/javascript"" src=""./sh_javascript.min.js""></script>
<script type=""text/javascript"" src=""./doc.js""></script>
</body>
</html>"
141,html,"</head>
  <body>
    <div class=""container"">
      <div class=""lesson-title"">
        <h1>Cleanup</h1>
      </div>"
142,html,"<li>
Menu 1
<ul>
  <li>Menu 1-1</li>
  <li>Menu 1-2</li>
  <li>Menu 1-3</li>
</ul>
</li>"
151,html,"<head>
  <title>{{section}}Node.js Manual &amp; Documentation</title>
  <link rel=""stylesheet"" href=""assets/style.css"" type=""text/css"" media=""all"" />
  <link rel=""stylesheet"" href=""assets/sh.css"" type=""text/css"" media=""all""/>
</head>"
160,java,"import lombok.extern.slf4j.Slf4j;
@Slf4j
public class Guard implements Permission {
  protected void enter() {
    LOGGER.info(""You can enter"");
  }
}"
168,java,"import java.math.BigInteger;
import java.util.Scanner;
public class Modex {
	public static void main(String[] args) {
		Scanner input = new Scanner(System.in);
		int numberOfTestCases = input.nextInt();
		while (numberOfTestCases != 0) {
			BigInteger x = input.nextBigInteger();
			BigInteger y = input.nextBigInteger();
			BigInteger n = input.nextBigInteger();
			BigInteger result = x.modPow(y, n);
			System.out.println(result);
			numberOfTestCases--;
		}
	}
}"
172,java,"public abstract class Ticker {
  protected Ticker() {}
  public abstract long read();
  public static Ticker systemTicker() {
    return SYSTEM_TICKER;
  }"
152,java,"public MinStack() {
  _data = new Stack<>();
  _min = new Stack<>();
}
public void push(int x) {
  _data.add(x);
  if (_min.isEmpty()){
      _min.push(x);
  }
  else{
      if (x > _min.peek()){
          x = _min.peek();
      }
      _min.push(x);
  }
}"
153,java,"class Solution2 {
  public int searchInsert(int[] nums, int target) {
      if (target>nums[nums.length-1]) {
          return nums.length;
      }
      int left=0;
      int right=nums.length-1;
      while (left < right) {
          int mid = (left + right) / 2;
          if (nums[mid] < target) {
              left = mid + 1;
          } else {
              right = mid;
          }
      }
      return left;
  }
}"
158,java,"@SuppressWarnings(""unchecked"")
public static <E extends @Nullable Object> Function<E, E> identity() {
  return (Function<E, E>) IdentityFunction.INSTANCE;
}"
